"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","25-Nov-2024","474.65","479.00","482.20","472.40","478.15","476.80","476.97","1,38,91,991","6,62,60,51,098.65","1,37,597","81,94,335","58.99"
"ITC","EQ","26-Nov-2024","476.80","480.00","482.65","474.10","477.00","477.00","476.76","65,39,846","3,11,79,27,466.80","1,24,209","33,60,474","51.38"
"ITC","EQ","27-Nov-2024","477.00","477.50","480.10","473.00","476.95","476.95","475.67","70,67,013","3,36,15,55,101.90","92,526","37,97,294","53.73"
"ITC","EQ","28-Nov-2024","476.95","477.00","483.80","470.55","475.55","474.90","476.02","1,44,12,539","6,86,05,90,338.25","1,97,328","66,09,296","45.86"
"ITC","EQ","29-Nov-2024","474.90","473.20","478.90","472.60","477.00","476.75","476.39","83,46,687","3,97,63,06,074.10","1,26,718","47,78,661","57.25"
"ITC","EQ","02-Dec-2024","476.75","476.00","479.30","473.40","477.40","477.20","476.84","54,78,598","2,61,23,98,108.20","1,05,775","32,74,668","59.77"
"ITC","EQ","03-Dec-2024","477.20","466.00","473.40","462.75","472.55","472.55","469.06","2,22,18,251","10,42,16,81,081.05","2,89,294","1,14,68,158","51.62"
"ITC","EQ","04-Dec-2024","472.55","474.40","478.20","466.40","467.20","467.10","470.88","1,34,39,484","6,32,83,46,244.15","1,84,751","83,99,289","62.50"
"ITC","EQ","05-Dec-2024","467.10","467.55","472.75","462.50","467.70","467.50","468.00","2,64,15,053","12,36,22,22,644.55","2,80,989","1,47,12,940","55.70"
"ITC","EQ","06-Dec-2024","467.50","470.00","474.95","467.70","471.95","471.15","472.38","75,51,407","3,56,71,34,560.35","1,18,458","32,79,177","43.42"
"ITC","EQ","09-Dec-2024","471.15","471.50","472.00","462.95","465.20","464.95","467.02","1,17,03,384","5,46,56,95,132.70","1,60,632","73,32,585","62.65"
"ITC","EQ","10-Dec-2024","464.95","465.35","466.45","462.60","465.35","465.45","464.64","88,23,805","4,09,99,16,466.30","1,37,180","58,03,821","65.77"
"ITC","EQ","11-Dec-2024","465.45","467.20","468.20","464.70","465.25","465.25","466.13","67,45,816","3,14,44,31,682.05","1,08,407","36,33,100","53.86"
"ITC","EQ","12-Dec-2024","465.25","465.50","467.90","459.15","460.85","460.60","462.32","1,28,84,401","5,95,67,25,495.60","1,65,742","69,64,126","54.05"
"ITC","EQ","13-Dec-2024","460.60","460.00","474.40","451.65","471.00","470.00","464.46","3,17,53,858","14,74,84,33,018.55","2,49,426","1,75,12,410","55.15"
"ITC","EQ","16-Dec-2024","470.00","470.25","474.40","468.00","470.00","470.10","470.12","90,07,264","4,23,44,93,701.85","1,53,567","47,81,612","53.09"
"ITC","EQ","17-Dec-2024","470.10","470.00","475.80","463.05","470.70","469.55","470.32","1,98,44,152","9,33,30,64,294.30","2,35,005","86,72,882","43.70"
"ITC","EQ","18-Dec-2024","469.55","472.70","473.80","466.90","471.25","470.50","470.47","1,23,65,167","5,81,74,85,040.30","1,71,373","63,17,433","51.09"
"ITC","EQ","19-Dec-2024","470.50","469.00","474.35","465.30","466.00","466.55","468.63","1,45,99,270","6,84,16,13,826.05","2,08,360","84,70,164","58.02"
"ITC","EQ","20-Dec-2024","466.55","466.50","467.45","459.30","465.65","464.65","463.94","1,94,81,288","9,03,81,76,739.25","2,41,995","1,02,33,036","52.53"
"ITC","EQ","23-Dec-2024","464.65","471.20","477.70","467.60","474.50","474.25","473.08","1,88,37,469","8,91,16,59,177.30","2,40,219","1,17,23,502","62.24"
